教育に関する事務の管理・執行状況の点検・評価について,pdf,CC BY-ND,教育委員会事務局/総務部/企画経理課/企画統計係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000052014.html
教育委員会の予算,html,CC BY,教育委員会事務局/総務部/企画経理課/企画統計係,教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000051737.html
教育調査統計,xls,CC BY,教育委員会事務局/総務部/企画経理課/企画統計係,統計、教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000062372.html
幼児人口(0歳児から5歳児),pdf,CC BY,教育委員会事務局/総務部/企画経理課/企画統計係,統計、教育と文化と交流,,http://www.city.nagoya.jp/kyoiku/page/0000051889.html
住宅宿泊事業法に基づく届出住宅の一覧について,xls,CC BY,健康福祉局/健康部/環境薬務課/衛生指導係,生活と住まい,,http://www.city.nagoya.jp/kenkofukushi/page/0000106003.html
美容所一覧について,xls,CC BY,健康福祉局/健康部/環境薬務課/衛生指導係,生活と住まい,,http://www.city.nagoya.jp/kenkofukushi/page/0000094814.html
旅館業法に基づき許可を受けた施設の一覧について,xls,CC BY,健康福祉局/健康部/環境薬務課/衛生指導係,生活と住まい,,http://www.city.nagoya.jp/kenkofukushi/page/0000087769.html
食品営業許可施設情報,xls,CC BY,健康福祉局/健康部/食品衛生課/食品衛生係,生活と住まい,,http://www.city.nagoya.jp/kenkofukushi/page/0000074954.html
名古屋市内の施術所（あん摩マッサージ指圧、はり、きゅう及び柔道整復）一覧,xls,CC BY,健康福祉局/健康部/保健医療課/地域医療係,健康と子育て,,http://www.city.nagoya.jp/kenkofukushi/page/0000050952.html
名古屋市内の歯科技工所一覧,xls,CC BY,健康福祉局/健康部/保健医療課/地域医療係,健康と子育て,,http://www.city.nagoya.jp/kenkofukushi/page/0000050960.html
平成30年度子ども・若者・子育て家庭意識・生活実態調査結果について,xls,CC BY,子ども青少年局/ /企画経理課/企画係,健康と子育て,,http://www.city.nagoya.jp/kodomoseishonen/page/0000114950.html
名古屋市の保育所等認可施設・事業所一覧,pdf,CC BY,子ども青少年局/保育部/保育企画室/保育企画係,健康と子育て,,http://www.city.nagoya.jp/kurashi/category/8-14-4-1-3-0-0-0-0-0.html
名古屋市広報課のフォト蔵,jpg,CC BY-ND,市長室/ /広報課/企画係,その他,,http://www.city.nagoya.jp/shicho/page/0000057577.html
広報なごや　令和2年5月号(PDF版)　市版(全区共通),pdf,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/shicho/page/0000013636.html
広報なごや市版 (全区共通),html,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/kurashi/category/262-38-1-0-0-0-0-0-0-0.html
平成29年1月号から12月号,pdf,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/shicho/page/0000099354.html
平成30年1月号から12月号,pdf,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/shicho/page/0000102122.html
平成31年1月号から令和元年12月号,pdf,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/shicho/page/0000114104.html
令和2年1月号以降,pdf,CC BY-ND,市長室/ /広報課/広報係（広報なごや担当）,その他,,http://www.city.nagoya.jp/shicho/page/0000125095.html
【まちなみデザイン20選(第3回)】久屋大通公園の木陰,jpg,CC BY,住宅都市局/都市計画部/都市景観室/調査企画係,観光・イベント,,http://www.city.nagoya.jp/jutakutoshi/page/0000091257.html
【まちなみデザイン20選(第3回)】久屋南噴水から見た舟型のオブジェとテレビ塔,jpg,CC BY,住宅都市局/都市計画部/都市景観室/調査企画係,観光・イベント,,http://www.city.nagoya.jp/jutakutoshi/page/0000091258.html
